id,fname,category,country
7169,Barbecue,Kansas City-Style Barbecue,United States of America
7170,Cookie,Fortune Cookie,United States of America
7171,Fried Chicken Dish,Sesame Chicken,United States of America
7172,Casserole,PastelÃƒÂ³n,United States of America
7173,Wrap,Chimichanga,United States of America
7174,Pizza,Greek-Style Pizza,United States of America
7175,Pasta,Fettuccine Alfredo,United States of America
7176,Salad,Cobb Salad,United States of America
7177,Sandwich,Hoagie,United States of America
7178,Cake,Boston Cream Pie,United States of America
7179,Ice Cream,Ice Cream Float,United States of America
7180,Fried Chicken Dish,Chicken Fingers,United States of America
7181,Chicken Dish,Cashew Chicken,United States of America
7182,Savory Pastry,Pigs in Blankets,United States of America
7183,Sandwich,Tuna Sandwich,United States of America
7184,Sandwich,French Dip Sandwich,United States of America
7185,Side Dish,Tostones,United States of America
7186,Egg Dish,Deviled Eggs,United States of America
7187,Sandwich,Italian Beef,United States of America
7188,Sweet Pie,Sweet Potato Pie,United States of America
7189,Wrap,Mission Burrito,United States of America
7190,Chocolate Cake,Devil's Food Cake,United States of America
7191,Hot Dog,Chili Dog,United States of America
7192,Crab Dish,Maryland Crab Cakes,United States of America
7193,Hot Dog,Chicago-Style Hot Dog,United States of America
7194,Sandwich,"Bacon, Egg and Cheese Sandwich",United States of America
7195,Sandwich type,Breakfast Sandwich,United States of America
7196,Shrimp/Prawn Dish,Shrimp and Grits,United States of America
7197,Pork Dish,Spam,United States of America
7198,Salad,Waldorf Salad,United States of America
7199,Pizza,Grilled Pizza,United States of America
7200,Sandwich,Sloppy Joe,United States of America
7201,Casserole,Hotdish,United States of America
7202,Fried Chicken Dish,General Tso's Chicken,United States of America
7203,Pasta,Pasta Primavera,United States of America
7204,Sandwich,Patty Melt,United States of America
7205,Fried Chicken Dish,Popcorn Chicken,United States of America
7206,Side Dish,Home Fries,United States of America
7207,Rice Dish,Uramaki,United States of America
7208,Appetizer,Egg Roll,United States of America
7209,Side Dish,Collard Greens,United States of America
7210,Feast,Clam Bake,United States of America
7211,Pizza,California-Style Pizza,United States of America
7212,Pizza,Chicago Thin Crust Pizza,United States of America
7213,Crayfish Dish,Boiled Crawfish,United States of America
7214,Cake,Gooey Butter Cake,United States of America
7215,Cake,Ice Cream Cake,United States of America
7216,Meat Dish,Plate Lunch,United States of America
7217,Freshwater Fish Dish,Fried Catfish,United States of America
7218,Burger,Juicy Lucy,United States of America
7219,Sandwich,Muffuletta,United States of America
7220,Oyster Dish,Oysters Rockefeller,United States of America
7221,Sandwich,Pastrami on Rye,United States of America
7222,Casserole,Tetrazzini,United States of America
7223,Poultry Dish,Turducken,United States of America
7224,Dessert,Marshmallow Cream,United States of America
7225,Chicken Dish,Chicken ÃƒÂ  la King,United States of America
7226,Beef Dish,Delmonico Steak,United States of America
7227,Chicken Dish,Chicken and Dumplings,United States of America
7228,Rice Dish,Arroz con gandules,United States of America
7229,Side Dish,Fried Okra,United States of America
7230,Breakfast,Biscuits Ã¢Â€Â™nÃ¢Â€Â™ Gravy,United States of America
7231,Snack,Corn Dog,United States of America
7232,Snack,Cheese Curds,United States of America
7233,Chocolate Cake,German Chocolate Cake,United States of America
7234,Sandwich,Meatball Sandwich,United States of America
7235,Breakfast,Breakfast Tacos,United States of America
7236,Sandwich,Corned Beef Sandwich,United States of America
7237,Deep-fried Dessert,Funnel Cake,United States of America
7238,Rice Dish,Red Beans and Rice,United States of America
7239,Sandwich,Monte Cristo Sandwich,United States of America
7240,Oyster Dish,Fried Oysters,United States of America
7241,Pudding,Banana Pudding,United States of America
7242,Side Dish,Cheese Fries,United States of America
7243,Beef Dish,L.A. Galbi,United States of America
7244,Sandwich type,Italian Sandwich,United States of America
7245,Beef Dish,Burnt Ends,United States of America
7246,Pasta,Toasted Ravioli,United States of America
7247,Side Dish,Popovers,United States of America
7248,Barbecue,Texas-Style Barbecue,United States of America
7249,Salad,Chef Salad,United States of America
7250,Sauce,Steak Sauce,United States of America
7251,Porridge,Poi,United States of America
7252,Noodle Soup,Saimin,United States of America
7253,Savory Pie,Spaghetti Pie,United States of America
7254,Cookie,Bizcochito,United States of America
7255,Side Dish,Boston Baked Beans,United States of America
7256,Ice Cream,Frozen Custard,United States of America
