id,fname,category,country
4027,Soup,Sarawak laksa,Malaysia
4028,Side Dish,Tempoyak,Malaysia
4029,Stew,Masak lemak,Malaysia
4030,Noodle Dish,Mee rebus,Malaysia
4031,Noodle Dish,Penang laksa,Malaysia
4032,Savory Pastry,Karipap,Malaysia
4033,Cake,Kuih lapis,Malaysia
4034,Meat Dish,Loh bak,Malaysia
4035,Dessert,Kuih serimuka,Malaysia
4036,Sweet Pastry,Mooncake,Malaysia
4037,Rice Dish,Nasi goreng kampung,Malaysia
4038,Rice Dish,Nasi goreng kambing,Malaysia
4039,Rice Dish,Nasi ulam,Malaysia
4040,Noodle Dish,Maggi goreng,Malaysia
4041,Snack,Keropok lekor,Malaysia
4042,Sweet Pastry,Rotiboy,Malaysia
4043,Noodle Dish,Lor mee,Malaysia
4044,Pancake,Roti jala,Malaysia
4045,Dessert,Bahulu,Malaysia
4046,Sauce,Sambal belacan,Malaysia
4047,Dessert,Pulut durian,Malaysia
4048,Noodle Dish,Mee bandung,Malaysia
4049,Noodle Dish,Mee goreng mamak,Malaysia
4050,Noodle Dish,Mee Siam,Malaysia
4051,Street Food Sweets,Roti pisang,Malaysia
4052,Noodle Dish,Penang Hokkien Mee,Malaysia
4053,Salad,Kerabu,Malaysia
4054,Porridge,Bubur lambuk,Malaysia
4055,Sweet Bread,Papparoti,Malaysia
4056,Salad,Ulam,Malaysia
4057,Stew,Kari ikan,Malaysia
4058,Street Food,Roti telur,Malaysia
4059,Stew,Kari kambing,Malaysia
4060,Rice Dish,Nasi goreng USA,Malaysia
4061,Street Food,Steamboat Satay (Satay celup),Malaysia
4062,Cookie,Cincin,Malaysia
4063,Cake,Kuih kaswi,Malaysia
4064,Savory Pastry,Pie tee,Malaysia
4065,Noodle Dish,Mee sup,Malaysia
4066,Pudding,Sago gula melaka,Malaysia
4067,Dessert,Bubur cha cha,Malaysia
4068,Dessert,Roti tisu,Malaysia
4069,Rice Dish,Nasi tumpang,Malaysia
4070,Sauce,Budu,Malaysia
4071,Sweet Pastry,Kuih keria,Malaysia
4072,Snack,Kuih cara berlauk,Malaysia
4073,Dip,Cincalok,Malaysia
4074,Noodle Dish,Lam mee,Malaysia
4075,Stew,Curry debal,Malaysia
4076,Flatbread,Roti sardin,Malaysia
4077,Cake,Kuih cara manis,Malaysia
4078,Rice Dish,Nasi kombos,Malaysia
4079,Flatbread,Roti durian,Malaysia
4080,Flatbread,Roti bawang,Malaysia
4081,Relish,Tuhau,Malaysia
4082,Snack,Cokodok,Malaysia
4083,Appetizer,Malai Broccoli,Malaysia
4084,Snack,Kuih cucur,Malaysia
4085,Savory Pastry,Gulha,Maldives
4086,Fish Soup,Garudihya,Maldives
4087,Fish Dish,Kulhimas,Maldives
4088,Stew,Maldivian Fish Curry (Mas riha),Maldives
4089,Stew,Kukulku riha,Maldives
4090,Breakfast,Mas huni,Maldives
4091,Snack,Masroshi,Maldives
4092,Flatbread,Huni roshi,Maldives
4093,Snack,Keemiyaa,Maldives
4094,Snack,Kavaabu,Maldives
4095,Octopus Dish,Miruhulee boava,Maldives
4096,Stew,Havaadhulee bis,Maldives
4097,Stew,Bis riha,Maldives
4098,Deep-fried Dessert,Dhonkeyo kajuru,Maldives
4099,Soup,Rihaakuru dhiya,Maldives
4100,Pancake,Riha folhi,Maldives
4101,Potato Dish,Aluvi hiki riha,Maldives
4102,Deep-fried Dish,Fuhjehi kavaabu,Maldives
4103,Savory Pastry,Pastizz,Malta
4104,Sweet Pastry,Imqaret,Malta
4105,Cake,Prinjolata,Malta
4106,Appetizer,Bebbux,Malta
4107,Stew,Fenkata,Malta
4108,Casserole,Imqarrun il-forn,Malta
4109,Cookie,Figolla,Malta
4110,Dessert,Pudina tal-Ã„Â§obÃ…Â¼,Malta
4111,Vegetable Soup,Kusksu,Malta
4112,Rice Dish,Ross il-forn,Malta
4113,Stew,LaÃ„Â§am taÃ…Â¼-Ã…Â¼iemel,Malta
4114,Casserole,Timpana,Malta
4115,Dip,Bigilla,Malta
4116,Vegetable Soup,Soppa tal-armla,Malta
4117,Snack,Qassatat,Malta
4118,Fish Soup,Aljotta,Malta
4119,Snack,Galletti,Malta
4120,Egg Dish,Balbuljata,Malta
4121,Potato Dish,Patata L-Forn,Malta
4122,Cookie,KwareÃ…Â¼imal,Malta
4123,Sandwich,Ã„Â¦obÃ…Â¼ biÃ…Â¼-Ã…Â¼ejt,Malta
4124,Soup,Kawlata,Malta
4125,Stew,Stuffat tal-qarnit,Malta
4126,Rabbit Dish,Fenek moqli,Malta
4127,Saltwater Fish Dish,Grilled Swordfish (Pixxispad mixwi),Malta
4128,Vegetable Dish,QaqoÃ„Â‹Ã„Â‹ mimli,Malta
4129,Vegetable Dish,BrunÃ„Â¡iel mimli,Malta
4130,Meat Dish,Falda mimlija,Malta
4131,Bread,Ã„Â¦obÃ…Â¼ tal-Malti,Malta
4132,Dessert,Ã„Â¦elwa tat-tork,Malta
4133,Savory Pie,Torta tal-irkotta,Malta
4134,Savory Pie,Torta tal-lampuki,Malta
4135,Sweet Pastry,QagÃ„Â§aq tal-gÃ„Â§asel,Malta
4136,Bread,Ftira tar-Randan,Malta
4137,Snack,SfineÃ„Â¡,Malta
4138,Squid Dish,Klamari mimlija,Malta
4139,Cookie,GÃ„Â§adam tal-mejtin,Malta
4140,Stew,Ful bit-tewm,Malta
4141,Saltwater Fish Dish,Maltese Whitebait Fritters (Pulpetti tal-makku),Malta
4142,Snack,Ã…Â»ebbuÃ„Â¡ mimli,Malta
4143,Appetizer,BÃ…Â¼ar mimli,Malta
4144,Snail Dish,Bebbux bl-aljoli,Malta
4145,Bread,QagÃ„Â§aq tal-Ã„Â§mira,Malta
4146,Appetizer,FaÃ…Â¼ola bajda bit-tewm u t-tursin,Malta
4147,Bread,QagÃ„Â§qa tal-appostli,Malta
4148,Sweet Bread,Ã„Â¦obÃ…Â¼a ta' San Martin,Malta
4149,Saltwater Fish Dish,Barramundi Cod,Marshall Islands
4150,Sweet Pie,Marshall Islands Macadamia Nut Pie,Marshall Islands
4151,Side Dish,Chukuchuk,Marshall Islands
4152,Side Dish,Sweet Potatoes & Fried Bananas,Marshall Islands
4153,Rice Dish,Rice-banke,Marshall Islands
4154,Stew,Leksour,Mauritania
4155,Stew,Bonava,Mauritania
4156,Beef Dish,Mauritanian Pepper Steak with Coconut,Mauritania
4157,Stew,Rougaille,Mauritius
4158,Stew,Daube de poulet,Mauritius
4159,Flatbread,Dholl puri,Mauritius
4160,Flatbread,Farata,Mauritius
4161,Fish Dish,Poisson aigre doux,Mauritius
4162,Saltwater Fish Dish,Bechamel de poisson,Mauritius
4163,Stew,Curry Jacques,Mauritius
4164,Appetizer,Hakien,Mauritius
4165,Flatbread,Roti chaud,Mauritius
4166,Snack,Gateaux piments,Mauritius
4167,Snack,Du pain frire,Mauritius
4168,Side Dish,Gratin de giraumon,Mauritius
4169,Snack,Bhajas,Mauritius
4170,Appetizer,Calamar croustillant,Mauritius
4171,Vegetable Dish,KÃƒÂ³n,Mexico
4172,Dessert,Uter,Mexico
4173,Vegetable Dish,Mahi umw,Mexico
4174,Chicken Dish,Chicken Micronesia,Mexico
4175,Stew,Micronesian Coconut Chicken Curry,Mexico
4176,Dessert,Pihlohlo mwehng,Mexico
4177,Breakfast,Uht sukusuk,Mexico
4178,Porridge,Koahpnoair koakihr,Mexico
4179,Vegetable Dish,KÃƒÂ³n,Micronesia
4180,Dessert,Uter,Micronesia
4181,Vegetable Dish,Mahi umw,Micronesia
4182,Chicken Dish,Chicken Micronesia,Micronesia
4183,Stew,Micronesian Coconut Chicken Curry,Micronesia
4184,Dessert,Pihlohlo mwehng,Micronesia
4185,Breakfast,Uht sukusuk,Micronesia
4186,Porridge,Koahpnoair koakihr,Micronesia
4187,Savory Pastry,PlÃ„ÂƒcintÃ„Âƒ,Moldova
4188,Porridge,MÃ„ÂƒmÃ„ÂƒligÃ„Âƒ,Moldova
4189,Ground Meat Dish,Sarmale,Moldova
4190,Chicken Soup,Zeama,Moldova
4191,Ground Meat Dish,PÃƒÂ¢rjoale,Moldova
4192,Sweet Pastry,SfinÃˆÂ›iÃˆÂ™ori,Moldova
4193,Appetizer,Barbagiuan,Monaco
4194,Stew,Stocafi,Monaco
4195,Side Dish,Oignons MonÃƒÂ©gasque,Monaco
4196,Appetizer,Tomates ÃƒÂ  la Monegasque,Monaco
4197,Dumplings,Buuz,Mongolia
4198,Meat Dish,Borts,Mongolia
4199,Dumplings,Bansh,Mongolia
4200,Goat Dish,Boodog,Mongolia
4201,Soup,Bantan,Mongolia
4202,Noodle Dish,Tsuivan,Mongolia
4203,Barbecue,Khorkhog,Mongolia
4204,Savory Pastry,Khuushuur,Mongolia
4205,Rice Dish,Budaatai huurga,Mongolia
4206,Noodle Soup,Guriltai shul,Mongolia
4207,Cheese Dish,Eezgii,Mongolia
4208,Bread,Baursak,Mongolia
4209,Meat Dish,Chanasan makh,Mongolia
4210,Cake,Lenja pita,Montenegro
4211,Stew,Ã„ÂŒorbast pasulj,Montenegro
4212,Porridge,Cicvara,Montenegro
4213,Savory Pastry,Priganice,Montenegro
4214,Soup,Ã„ÂŒorba od koprive,Montenegro
4215,Veal Dish,BalÃ…Â¡iÃ„Â‡a tava,Montenegro
4216,Porridge,SmoÃ„Âani kaÃ„Âamak,Montenegro
4217,Pasta,PaÃ…Â¡trovski makaruli,Montenegro
4218,Mushroom Soup,Ã„ÂŒobanska krem supa od vrganja,Montenegro
4219,Potato Dish,Kuvana krtola,Montenegro
4220,Bread,Crnogorska pogaÃ„Âa,Montenegro
4221,Technique,Tajine,Morocco
4222,Stew,Couscous (dish),Morocco
4223,Stew,Chicken Tajine,Morocco
4224,Savory Pie,Pastilla,Morocco
4225,Soup,Harira,Morocco
4226,Stew,Loubia,Morocco
4227,Flatbread,Msemen,Morocco
4228,Sweet Pastry,Chebakia,Morocco
4229,Lamb/Mutton Dish,Tanjia,Morocco
4230,Vegetable Dish,Matbucha,Morocco
4231,Pancake,Baghrir,Morocco
4232,Dip,Chermoula,Morocco
4233,Vegetable Soup,Bessara,Morocco
4234,Appetizer,Maakouda,Morocco
4235,Bread,Khobz,Morocco
4236,Salad,Taktouka,Morocco
4237,Sweet Pastry,Kaab el ghazal,Morocco
4238,Sweet Pastry,Sfenj,Morocco
4239,Cookie,Fekkas,Morocco
4240,Side Dish,Seffa,Morocco
4241,Salad,Zaalouk,Morocco
4242,Bread,Harsha,Morocco
4243,Savory Pastry,Briouat,Morocco
4244,Bread,Krachel,Morocco
4245,Dessert,Sellou,Morocco
4246,Egg Dish,Shakshouka,Morocco
4247,Pickling,Leems,Morocco
4248,Side Dish,Tfaya,Morocco
4249,Cake,Meskouta,Morocco
4250,Cookie,Ghoriba,Morocco
4251,Sweet Pastry,M'hanncha,Morocco
4252,Lamb/Mutton Dish,Mrouzia,Morocco
4253,Meat Dish,Khlea,Morocco
4254,Chicken Dish,Rfissa,Morocco
4255,Offal Dish,Boulfaf,Morocco
4256,Flatbread,Berber Pizza,Morocco
4257,Chicken Dish,Peri Peri Chicken,Mozambique
4258,Stew,Matata,Mozambique
4259,Sauce,Piri Piri Sauce,Mozambique
4260,Rice Dish,Fofos de arroz,Mozambique
4261,Cake,Bolo Polana,Mozambique
4262,Stew,Khow suey,Myanmar
4263,Noodle Soup,Mohinga,Myanmar
4264,Noodle Dish,Kyay oh,Myanmar
4265,Snack,Samusa,Myanmar
4266,Stew,Burmese Chicken Curry,Myanmar
4267,Rice Dish,Dan bauk,Myanmar
4268,Noodle Dish,Meeshay,Myanmar
4269,Rice Dish,HtamanÃƒÂ¨,Myanmar
4270,Noodle Dish,Ohn no khao swÃƒÂ¨,Myanmar
4271,Duck Dish,Be kin,Myanmar
4272,Rice Dish,Si htamin,Myanmar
4273,Stew,Burmese Prawn Curry (Bazun hin),Myanmar
4274,Soup,Samusa,Myanmar
4275,Dessert,Shwe yin aye,Myanmar
4276,Dumplings,Mont lone yay paw,Myanmar
4277,Dessert,Kyauk kyaw,Myanmar
4278,Cake,Sanwin makin,Myanmar
4279,Dessert,Htoe mont,Myanmar
4280,Porridge,San byoke,Myanmar
4281,Flatbread,Nan bya,Myanmar
4282,Sauce,Ngapi jet,Myanmar
4283,Porridge,Meat and Pap,Namibia
4284,Bread,Veldt,Namibia
4285,Porridge,Oshifima,Namibia
4286,Dumplings,Momo,Nepal
4287,Rice Dish,Dal bhat,Nepal
4288,Rice Dish,Baji,Nepal
4289,Meat Dish,Sekuwa,Nepal
4290,Meat Dish,Sukuti,Nepal
4291,Vegetable Dish,Gundruk,Nepal
4292,Stew,Kwati,Nepal
4293,Dumplings,Yomari,Nepal
4294,Bread,Sel roti,Nepal
4295,Meat Dish,Choila,Nepal
4296,Stew,Khasi ko masu,Nepal
4297,Ground Meat Dish,KachilÃ„Â,Nepal
4298,Deep-fried Dessert,Thekua,Nepal
4299,Ground Meat Dish,Chunla,Nepal
4300,Snack,Chatamari,Nepal
4301,Soup,Alu tama,Nepal
4302,Offal Dish,Pukala,Nepal
4303,Meat Dish,Bhutuwa,Nepal
4304,Pork Dish,Bandel karang,Nepal
4305,Meat Dish,Haku choila,Nepal
4306,Porridge,Dhindo,Nepal
4307,Assorted Small Dishes or Ritual,Samay baji,Nepal
4308,Side Dish,Kinema,Nepal
4309,Plant-based/Vegan Dish,Masyaura,Nepal
4310,Offal Dish,Phokso,Nepal
4311,Bread,Gwaramari,Nepal
4312,Side Dish,Wachipa,Nepal
4313,Potato Dish,Piro aloo,Nepal
4314,Plant-based/Vegan Dish,Arikanchan,Nepal
4315,Offal Dish,Swan pukÃ„Â,Nepal
4316,Snack,Kroket,Netherlands
4317,Sweet Pie,Appeltaart,Netherlands
4318,Street Food,Kapsalon,Netherlands
4319,Pancake,Poffertjes,Netherlands
4320,Vegetable Dish,Stamppot,Netherlands
4321,Cookie,Speculaas,Netherlands
4322,Cookie,Stroopwafel,Netherlands
4323,Saltwater Fish Dish,Kibbeling,Netherlands
4324,Pancake,Pannekoek,Netherlands
4325,Snack,Bitterballen,Netherlands
4326,Soup,Snert,Netherlands
4327,Sweet Bread,Suikerbrood,Netherlands
4328,Sweet Pie,Vlaai,Netherlands
4329,Cake,Space Cake,Netherlands
4330,Meatballs,Gehaktballen,Netherlands
4331,Vegetable Dish,Hutspot,Netherlands
4332,Sweet Bread,Ontbijtkoek,Netherlands
4333,Feast,Rijsttafel,Netherlands
4334,Stew,Hachee,Netherlands
4335,Cake,Tompouce,Netherlands
4336,Fish Dish,Gerookte paling,Netherlands
4337,Sweet Pastry,Oliebol,Netherlands
4338,Cake,Boterkoek,Netherlands
4339,Sweet Pastry,Appelflap,Netherlands
4340,Snack,Saucijzenbroodjes,Netherlands
4341,Sweet Pastry,Zeeuwse bolus,Netherlands
4342,Snack,Beschuit met muisjes,Netherlands
4343,Custard,Vla,Netherlands
4344,Breakfast,Wentelteefjes,Netherlands
4345,Sandwich,Broodje kroket,Netherlands
4346,Sweet Pastry,Banket,Netherlands
4347,Sausage,Braadworst,Netherlands
4348,Cookie,Kruidnoten,Netherlands
4349,Bread,Tijgerbrood,Netherlands
4350,Sausage,Frikandel,Netherlands
4351,Cookie,Gevulde koek,Netherlands
4352,Sandwich,Broodje haring,Netherlands
4353,Sweet Pastry,Nonnevot,Netherlands
4354,Salad,Huzarensalade,Netherlands
4355,Soup,Mosterdsoep,Netherlands
4356,Cookie,Pepernoot,Netherlands
4357,Cookie,Bitterkoekjes,Netherlands
4358,Cookie,Taai-taai,Netherlands
4359,Street Food,Berenklauw,Netherlands
4360,Cookie,Krakeling,Netherlands
4361,Saltwater Fish Dish,Lekkerbekje,Netherlands
4362,Potato Dish,Patatje oorlog,Netherlands
4363,Side Dish,Andijviestamppot,Netherlands
4364,Sausage,Rookworst,Netherlands
4365,Dessert,Hangop,Netherlands
4366,Dessert,Stoofpeertjes,Netherlands
4367,Sweet Bread,Krentenbollen,Netherlands
4368,Meat Dish,Blinde vink,Netherlands
4369,Cookie,Kletskop,Netherlands
4370,Stew,Jachtschotel,Netherlands
4371,Sausage,Metworst,Netherlands
4372,Snack,Worstenbroodje,Netherlands
4373,Offal Dish,Balkenbrij,Netherlands
4374,Snack,Kaasstengels,Netherlands
4375,Sweet Bread,Kerststol,Netherlands
4376,Dessert,Borstplaat,Netherlands
4377,Meat Dish,Slavink,Netherlands
4378,Snack,KaassoufflÃƒÂ©,Netherlands
4379,Cookie,Bokkepootjes,Netherlands
4380,Dessert,Roze Koek,Netherlands
4381,Beef Dish,Sudderlapjes,Netherlands
4382,Sweet Bread,Poffert,Netherlands
4383,Fruit Salad,Boerenjongens,Netherlands
4384,Sweet Pastry,Bossche bol,Netherlands
4385,Side Dish,Hete bliksem,Netherlands
4386,Porridge,Stip,Netherlands
4387,Sweet Pie,Rijstevlaai,Netherlands
4388,Stew,Hazenpeper,Netherlands
4389,Snack,Bamischijf,Netherlands
4390,Side Dish,Boerenkool stamppot,Netherlands
4391,Pudding,Griesmeelpudding,Netherlands
4392,Cookie,Jan Hagel,Netherlands
4393,Mussel Dish,Gebakken mosselen,Netherlands
4394,Deep-fried Dessert,Appelbeignet,Netherlands
4395,Savory Pastry,Pastechi,Netherlands
4396,Meat Dish,Keshi yena,Netherlands
4397,Stew,Zoervleis,Netherlands
4398,Sweet Bread,Hoornse broeder,Netherlands
4399,Dessert,Haagse bluf,Netherlands
4400,Sweet Pastry,Moorkop,Netherlands
4401,Sauce,Joppiesaus,Netherlands
4402,Cookie,Arnhemse meisjes,Netherlands
4403,Snack,Eierbal,Netherlands
4404,Snack,Nasibal,Netherlands
4405,Stew,Kabritu stoba,Netherlands
4406,Bread,Fries roggebrood,Netherlands
4407,Cookie,Jodenkoek,Netherlands
4408,Side Dish,Zuurkoolstamppot,Netherlands
4409,Sweet Bread,Krentenweggen,Netherlands
4410,Snack,Rundvleeskroket,Netherlands
4411,Snack,SatÃƒÂ©kroket,Netherlands
4412,Cookie,Fryske dÃƒÂºmkes,Netherlands
4413,Stew,Karni stoba,Netherlands
4414,Stew,Banana stobÃƒÂ¡,Netherlands
4415,Cookie,Ijzerkoekje,Netherlands
4416,Side Dish,Funchi,Netherlands
4417,Side Dish,Tutu,Netherlands
4418,Pudding,Jan in de zak,Netherlands
4419,Sweet Bread,Groninger koek,Netherlands
4420,Porridge,Broodpap,Netherlands
4421,Deep-fried Dessert,Ananasbeignets,Netherlands
4422,Snack,Kalfsvleeskroket,Netherlands
4423,Porridge,Krentjebrij,Netherlands
4424,Sweet Pastry,Letterbanket,Netherlands
4425,Side Dish,Rodekool met appeltjes,Netherlands
4426,Cookie,Weesper moppen,Netherlands
4427,Soup,Humkessoep,Netherlands
4428,Soup,Bonchi kora,Netherlands
4429,Dessert,Tentalaria di cashupete,Netherlands
4430,Tart,Antillean Prune Tart (Tert di preimu),Netherlands
4431,Soup,Giambo,Netherlands
4432,Egg Dish,Uitsmijter spek en kaas,Netherlands
4433,Pancake,Pan bati,Netherlands
4434,Porridge,Karnemelksepap,Netherlands
4435,Sweet Bread,Dikke koek,Netherlands
4436,Pancake,Spekdikken,Netherlands
4437,Sweet Pastry,Gemberbolus,Netherlands
4438,Bread,Pan serÃƒÂ¡,Netherlands
4439,Snack,Cala,Netherlands
4440,Snack,Bolita di keshi,Netherlands
4441,Snack,Brabants worstenbroodje,Netherlands
4442,Vegetable Soup,Sopi di pampuna,Netherlands
4443,Cake,Bolo di wortel,Netherlands
4444,Soup,Cool Island Soup,Netherlands
4445,Appetizer,Balchi di pisca,Netherlands
4446,Porridge,Grutjespap,Netherlands
4447,Snack,Spiced Yucca Chips,Netherlands
4448,Apple,Gala,New Zealand
4449,Honey,MÃ„Ânuka Honey,New Zealand
4450,Apple,Braeburn,New Zealand
4451,Apple,Queen Apples,New Zealand
4452,Clams,Tuatua,New Zealand
4453,Apple,Jazz,New Zealand
4454,Cheese,Mainland Cheese,New Zealand
4455,Apple,Pacific Rose,New Zealand
4456,White Fish,Elephant Shark,New Zealand
4457,Cheese,Airedale,New Zealand
4458,Cheese,Whitestone Farmhouse Cheese,New Zealand
4459,Oysters,Bluff Oyster,New Zealand
4460,Apple,Envy,New Zealand
4461,Mussels,Green-Lipped Mussel,New Zealand
4462,Cheese,Meyer Vintage Gouda,New Zealand
4463,Cheese,Mahoe Aged Gouda,New Zealand
4464,Cheese,Evansdale Farmhouse Brie,New Zealand
4465,Seaweed,Karengo,New Zealand
4466,Apple,Dazzle Apples,New Zealand
4467,Apple,Kidd's Orange Red,New Zealand
4468,Apple,Red Dougherty,New Zealand
4469,Apple,Breeze Apples,New Zealand
4470,Sweet Potato,Huti Huti,New Zealand
4471,Eel,New Zealand Longfin Eel,New Zealand
4472,Insect,Huhu Beetle,New Zealand
4473,Worm,Noke,New Zealand
4474,Sweet Potato,Rekamaroa,New Zealand
4475,Sweet Potato,Taputini,New Zealand
4476,Apple,Telstar,New Zealand
4477,Apple,Sonya Apple,New Zealand
4478,Apple,Splendour,New Zealand
4479,Cake,Tres Leches Cake,Nicaragua
4480,Vegetable Dish,Berenjenas rellenas,Nicaragua
4481,Wrap,Nacatamal,Nicaragua
4482,Meat Soup,Sopa de cola,Nicaragua
4483,Side Dish,Gallo pinto,Nicaragua
4484,Beef Dish,Vaho,Nicaragua
4485,Rice Dish,Arroz a la plancha,Nicaragua
4486,Stew,Indio viejo,Nicaragua
4487,Street Food,VigorÃƒÂ³n,Nicaragua
4488,Rice Dish,Arroz con pescado,Nicaragua
4489,Sweet Pastry,Rosquillas,Nicaragua
4490,Cake,Pio quinto,Nicaragua
4491,Stew,Arroz aguado,Nicaragua
4492,Custard,Atolillo,Nicaragua
4493,Meat Dish,Carne desmenuzada,Nicaragua
4494,Casserole,Maduro en gloria,Nicaragua
4495,Sweet Bread,Cosa de horno,Nicaragua
4496,Snack,GÃ…Â±irila,Nicaragua
4497,Stew,Dounguouri soko,Niger
4498,Snack,Fari Masa,Niger
4499,Stew,Djerma,Niger
4500,Rice Dish,Jollof Rice,Nigeria
4501,Vegetable Dish,Moin moin,Nigeria
4502,Street Food,Suya,Nigeria
4503,Side Dish,Eba,Nigeria
4504,Soup,Afang Soup,Nigeria
4505,Soup,Banga Soup,Nigeria
4506,Vegetable Soup,Ogbono Soup,Nigeria
4507,Soup,Efo-Riro,Nigeria
4508,Meat Dish,Nkwobi,Nigeria
4509,Side Dish,Tuwo shinkafa,Nigeria
4510,Snack,Kokoro,Nigeria
4511,Snack,Chin Chin,Nigeria
4512,Vegetarian Dish,Ekuru,Nigeria
4513,Soup,Gbegiri,Nigeria
4514,Soup,Edikaikong,Nigeria
4515,Rice Dish,Nigerian Fried Rice,Nigeria
4516,Seafood Soup,Point & Kill,Nigeria
4517,Soup,Ofe onugbu,Nigeria
4518,Vegetable Soup,Ewedu Soup,Nigeria
4519,Soup,Miyan kuka,Nigeria
4520,Offal Dish,Gizdodo,Nigeria
4521,Noodle Soup,Naengmyeon,North Korea
4522,Noodle Dish,Hoe naengmyeon,North Korea
4523,Snack,Dububap,North Korea
4524,Noodle Dish,Pyongyang naengmyeon,North Korea
4525,Fish Soup,Taedong River Grey Mullet Soup,North Korea
4526,Rice Dish,Pyongyang onban,North Korea
4527,Offal Dish,Ox Trotter Aspic,North Korea
4528,Relish,Ajvar,North Macedonia
4529,Savory Pastry,Zelnik,North Macedonia
4530,Cold Soup,Tarator,North Macedonia
4531,Relish,Lyutenitsa,North Macedonia
4532,Savory Pie,Pastrmajlija,North Macedonia
4533,Ground Meat Dish,Sarma,North Macedonia
4534,Side Dish,GravÃ„Âe na tavÃ„Âe,North Macedonia
4535,Stew,Chomlek,North Macedonia
4536,Relish,PinÃ„Â‘ur,North Macedonia
4537,Sweet Pastry,Maznik,North Macedonia
4538,Freshwater Fish Dish,Cironka,North Macedonia
4539,Stew,Turli tava,North Macedonia
4540,Stew,Selsko meso,North Macedonia
4541,Offal Dish,Kukurec,North Macedonia
4542,Savory Pie,Gomleze,North Macedonia
4543,Ground Meat Dish,Polneti piperki,North Macedonia
4544,Lamb/Mutton Dish,Ã…Â irden,North Macedonia
4545,Stew,Kompir mandza,North Macedonia
4546,Sweet Bread,Kozinjak,North Macedonia
4547,Porridge,KaÃ„Âamak,North Macedonia
4548,Breakfast,Simit-pogacha,North Macedonia
4549,Dessert,Slatko od divi smokvi,North Macedonia
4550,Savory Pie,Svetinikolska pastrmajlija,North Macedonia
4551,Snack,Mekici,North Macedonia
4552,Dip,Makalo,North Macedonia
4553,Spread,Malidzano,North Macedonia
4554,Cake,Ohridska torta,North Macedonia
4555,Soup,Ã„ÂŒorba od kopriva,North Macedonia
4556,Chicken Dish,AjduÃ„Âka pleskavica,North Macedonia
4557,Casserole,Yogurtlitava,North Macedonia
4558,Casserole,Krusevsko grne,North Macedonia
4559,Dessert,KruÃ…Â¡evo lokum,North Macedonia
4560,Savory Pie,Kratovska pastrmajlija,North Macedonia
4561,Rice Dish,Lapa (North Macedonia),North Macedonia
4562,Saltwater Fish Dish,Lutefisk,Norway
4563,Flatbread,Lefse,Norway
4564,Meatballs,KjÃƒÂ¸ttboller,Norway
4565,Lamb/Mutton Dish,PinnekjÃƒÂ¸tt,Norway
4566,Seafood Soup,Fiskesuppe,Norway
4567,Stew,Lapskaus,Norway
4568,Stew,FÃƒÂ¥rikÃƒÂ¥l,Norway
4569,Meat Soup,Sodd,Norway
4570,Sweet Pastry,Skillingsboller,Norway
4571,Flatbread,Lompe,Norway
4572,Meatballs,Medisterkaker,Norway
4573,Side Dish,Sour Cabbage (SurkÃƒÂ¥l),Norway
4574,Cake,Kransekake,Norway
4575,Saltwater Fish Dish,Fiskeboller,Norway
4576,Wafer,Krumkake,Norway
4577,Stew,Bidos,Norway
4578,Saltwater Fish Dish,Stekt fisk,Norway
4579,Porridge,RÃƒÂ¸mmegrÃƒÂ¸t,Norway
4580,Spread,Gomme,Norway
4581,Salad,Agurksalat,Norway
4582,Sausage,MorrpÃƒÂ¸lse,Norway
4583,Pudding,Riskrem,Norway
4584,Sweet Pastry,Smultring,Norway
4585,Cake,KvÃƒÂ¦fjordkake,Norway
4586,Flatbread,FlatbrÃƒÂ¸d,Norway
4587,Sweet Bread,Julekake,Norway
4588,Soup,BlomkÃƒÂ¥lsuppe,Norway
4589,Offal Dish,Smalahove,Norway
4590,Cookie,Oatcakes (Havrekjeks),Norway
4591,Sweet Pastry,SkolebrÃƒÂ¸d,Norway
4592,Cookie,Sand Cookies (Sandkaker),Norway
4593,Saltwater Fish Dish,Pickled Herring (Sursild),Norway
4594,Fish Soup,Bergensk fiskesuppe,Norway
4595,Pizza,LÃƒÂ¸rdagspizza,Norway
4596,Saltwater Fish Dish,Persetorsk,Norway
4597,Dessert,TilslÃƒÂ¸rte bondepiker,Norway
4598,Tart,Fyrstekake,Norway
4599,Cookie,Sirupsnipper,Norway
4600,Fish Dish,Herring and Potatoes (Sild og poteter),Norway
4601,Saltwater Fish Dish,Plukkfisk,Norway
4602,Cake,Mother Monson Cake (Mor Monsen),Norway
4603,Dessert,Oven Cheese (Kalvedans),Norway
4604,Cookie,Serinakaker,Norway
4605,Cookie,Brune pinner,Norway
4606,Dessert,Multekrem,Norway
4607,Sweet Soup,Sot suppe,Norway
4608,Cookie,Goro,Norway
4609,Dessert,Baked Apples (Stekte epler),Norway
4610,Wrap,Lefserull,Norway
4611,Game Dish,Reindeer Steak (Reinsdyr mÃƒÂ¸rbrad),Norway
4612,Meat Dish,Spiced Pork Ribs (Julekrydret ribbe),Norway
4613,Saltwater Fish Dish,Jarlsberg Cod (Jarlsberg torsk),Norway
4614,Sweet Bread,Cardamom Buns (Hveteboller),Norway
4615,Snack,MÃƒÂ¸sbrÃƒÂ¸mlefse,Norway
